id,site,nom,version,trad_version,lien_trad,statut,tags,type_moteur,traducteur,relecteur,type_trad,ac,image_url,trad_url,translator_url
158858,F95z,-u4ia-,Season 1,Season 1,Traduction,EN COURS,"3dcg, ahegao, anal sex, animated, big ass, big tits, creampie, dating sim, groping, lesbian, male protagonist, milf, multiple penetration, oral sex, point & click, romance, sandbox, sex toys, stripping, teasing, vaginal sex, voyeurism",RenPy,Blackviper_,,Traduction Humaine,true,https://attachments.f95zone.to/2023/08/2890426_1692605185001.png,,
18701,F95z,"¡Ay, Caramba!",v0.02,v0.02,Traduction,ABANDONNÉ,"2dcg, groping, male protagonist, parody",RenPy,andric31,,Traduction Automatique,true,https://attachments.f95zone.to/2018/09/167890_mr.png,,
128596,F95z,(D)Fraction,v0.01,v0.01,Traduction,ABANDONNÉ,"3dcg, animated, big tits, corruption, male protagonist, masturbation, pov, romance, vaginal sex",RenPy,andric31,,Traduction Automatique,true,https://attachments.f95zone.to/2022/09/2044251_fullcover.png,,
112971,F95z,12 Goddesses,v0.15,v0.14,Traduction,EN COURS,"3dcg, adventure, animated, big ass, big tits, fantasy, female domination, groping, handjob, harem, humor, male domination, male protagonist, milf, mobile game, oral sex, superpowers, vaginal sex, virgin, voiced",RenPy,A7up Red,,Traduction Automatique,true,https://attachments.f95zone.to/2022/05/1824043_banner_patreon_3.jpg,,
191836,F95z,13 Games' Project Sampler,v1.0,v1.0,Traduction,TERMINÉ,"3dcg, adventure, animated, creampie, fantasy, horror, monster girl, multiple protagonist, vaginal sex, virgin",RenPy,Fx_oO7,,Traduction Automatique,true,https://attachments.f95zone.to/2024/02/3355476_13_Games.png,,
189343,F95z,134:Police,v0.1.1,v0.1.1,Traduction,ABANDONNÉ,"2dcg, animated, big ass, big tits, creampie, exhibitionism, fantasy, female domination, female protagonist, male domination, male protagonist, milf, mobile game, oral sex, sandbox, vaginal sex, voyeurism",RenPy,Fx_oO7,,Traduction Automatique,true,https://attachments.f95zone.to/2024/01/3297016_Cover.jpg,,
166582,F95z,14 Days of Desire,Final,Final,Traduction,TERMINÉ,"3dcg, bdsm, big ass, big tits, cosplay, creampie, dating sim, exhibitionism, futa/trans, groping, handjob, interracial, male protagonist, milf, oral sex, romance, sandbox, stripping, teasing, vaginal sex, voyeurism",RenPy,LeRebel71,,Traduction Automatique,true,https://attachments.f95zone.to/2023/07/2779346_1688882073766.jpeg,,
90568,F95z,16 Years Later!,Ep.15,Ep.15,Traduction,ABANDONNÉ,"3dcg, anal sex, animated, big ass, big tits, cheating, corruption, creampie, dilf, female domination, footjob, groping, handjob, harem, interracial, male domination, male protagonist, milf, mobile game, oral sex, pov, romance, spanking, teasing, titfuck, vaginal sex, virgin, voyeurism",RenPy,Frelon71,,Traduction Automatique,true,https://attachments.f95zone.to/2021/08/1362112_1362105_ES0001.jpg,,
141876,F95z,2069: A Space Sextasy,v0.5-0,v0.5-0,Traduction,EN COURS,"3dcg, animated, big ass, big tits, male protagonist, masturbation, monster girl, parody, point & click, sandbox, sci-fi, sex toys, vaginal sex",RenPy,Fx_oO7,,Traduction Automatique,true,https://attachments.f95zone.to/2022/12/2280575_7lY24U.jpg,,
76819,F95z,23 Sisters,v1.0 Final,v1.0 Final,Traduction,TERMINÉ,"3dcg, adventure, ahegao, anal sex, animated, creampie, harem, humor, interracial, lactation, lesbian, male protagonist, monster girl, oral sex, pregnancy, sci-fi, vaginal sex",RenPy,Frelon71,,Traduction Humaine,true,https://attachments.f95zone.to/2022/01/1609529_23Sisters-2.png,,
66695,F95z,"2nd Chance Season 2, Text-Based",v1.1,v1.1,Traduction,TERMINÉ,"3dcg, anal sex, bdsm, cheating, corruption, creampie, dating sim, dilf, exhibitionism, footjob, group sex, male domination, male protagonist, mobile game, multiple endings, multiple protagonist, oral sex, romance, text based, vaginal sex, virgin",RenPy,LeRebel71,,Traduction Humaine,true,https://attachments.f95zone.to/2020/11/921866_F95.png,,
60415,F95z,"2nd Chance, Text-based",v1.0 Bugfix,v1.0 Bugfix,Traduction,TERMINÉ,"3dcg, anal sex, bdsm, cheating, corruption, creampie, dating sim, dilf, exhibitionism, footjob, group sex, humiliation, lesbian, male domination, male protagonist, masturbation, mobile game, multiple endings, multiple protagonist, netorare, oral sex, romance, sex toys, spanking, teasing, text based, titfuck, vaginal sex, virgin, voyeurism",RenPy,LeRebel71,,Traduction Semi-Automatique,true,https://attachments.f95zone.to/2023/07/2760142_test_banner_004.png,,
239390,F95z,3 Days in Another World,v1.0,v1.0,Traduction,TERMINÉ,"2dcg, ai cg, big ass, big tits, exhibitionism, fantasy, female domination, male domination, male protagonist, masturbation, multiple endings, oral sex",RenPy,andric31,,Traduction Automatique,true,https://attachments.f95zone.to/2025/01/4433910_header.jpg,,
67553,F95z,3001: A MILF Odyssey,S1 Final,S1 Final,Traduction,TERMINÉ,"3dcg, adventure, anal sex, animated, big ass, big tits, fantasy, female domination, harem, lesbian, male domination, male protagonist, milf, oral sex, parody, pregnancy, religion, sci-fi, swinging, vaginal sex, voyeurism",RenPy,Fx_oO7,,Traduction Semi-Automatique,false,https://attachments.f95zone.to/2022/04/1779920_MilfOdyssey8.jpg,,
67553,F95z,3001: A MILF Odyssey,S2 v0.1.3,S2 v0.1.3,Traduction,ABANDONNÉ,"3dcg, adventure, anal sex, animated, big ass, big tits, fantasy, female domination, harem, lesbian, male domination, male protagonist, milf, oral sex, parody, pregnancy, religion, sci-fi, swinging, vaginal sex, voyeurism",RenPy,Fx_oO7,,Traduction Automatique,true,https://attachments.f95zone.to/2022/04/1779920_MilfOdyssey8.jpg,,
91182,F95z,4 Years in Tehran,BurnedTrust,BurnedTrust,Traduction,EN COURS,"3dcg, anal sex, big ass, big tits, corruption, creampie, exhibitionism, female protagonist, gay, graphic violence, groping, handjob, interracial, masturbation, oral sex, teasing, urination",RenPy,andric31,,Traduction Automatique,true,https://attachments.f95zone.to/2021/09/1426012_image_2021-09-13_12-28-40.png,,
239181,F95z,60 Days Of Us,EA Build 2,EA Build 2,Traduction,EN COURS,"3dcg, animated, creampie, dystopian setting, graphic violence, group sex, horror, male protagonist, oral sex, vaginal sex",RenPy,Frelon31,,Traduction Semi-Automatique,true,https://attachments.f95zone.to/2025/01/4428826_Banner.png,,
58275,F95z,7 Islands Domain,v1.0 Public,v1.0 Public,Traduction,TERMINÉ,"3dcg, adventure, anal sex, big ass, big tits, exhibitionism, groping, humiliation, male protagonist, milf, mobile game, romance, sandbox, teasing, vaginal sex, voiced, voyeurism",RenPy,LeRebel71,,Traduction Semi-Automatique,true,https://attachments.f95zone.to/2020/08/777464_7-islands-domain_banner.jpg,,
65435,F95z,A Big Family in Debt,v0.1.1,v0.1.1,Traduction,ABANDONNÉ,"3dcg, lesbian, male protagonist, mobile game, netorare, romance, sandbox, teasing",RenPy,andric31,,Traduction Automatique,true,https://attachments.f95zone.to/2020/10/897611_1604139951462.png,,
