date_maj,type,jeux
2026-04-10,MISE À JOUR,"Worlds of Wonders,  Small Coffee,  Four Elements Trainer,  Succubless"
2026-04-10,AJOUT DE JEU,Swarm Bunker: Lust Defense
2026-04-09,MISE À JOUR,"Bodysmith Tales: Hidden Legacy,  Hot Therapy,  University Days,  Imperial Bureaucracy Hero,  Another Chance,  Cartel Simulator,  My Early Life,  Spirit Lover,  Our Red String,  Nephilim,  Regret Island,  LockDown Dom,  Jikage Rising,  Deep Vault 69,  The Intoxicating Flavor,  The Pilgrimage (Chapter 2),  Accord"
2026-04-09,AJOUT DE JEU,"Lukestria Family,  Lessons of love and lust,  Jen's Dilemma,  Butthole Tattoo Artist Simulator"
2026-04-08,MISE À JOUR,ReConnect: TextingStories
2026-04-07,AJOUT DE JEU,"Lara Croft and the Lost City,  Maleficent: Banishment of Evil"
2026-04-07,MISE À JOUR,"FreshWomen,  Harem Fantasy"
2026-04-06,MISE À JOUR,"My Pig Princess,  My Netorase Obsession,  Discipline -The record of a Crusade- Ren'Py Remake,  Hornycraft,  Braveheart Academy 2,  Viral Rivalz,  White Boy Summer,  Sorceress In the Sinful Silkwood Yielding"
2026-04-06,AJOUT DE JEU,"Simplicity,  Cursed Affection,  Magic Academy,  Your RWBY Fantasy,  OSC The Lust of Us,  Dragon Ball F,  Demon Boy Saga"
2026-04-05,MISE À JOUR,"Apocalypse Lovers,  World of Sisters,  New Beginnings in Japan,  Summer's Gone (Uncut Taboo Edition)"
2026-04-05,AJOUT DE JEU,"Red Sakura Mansion 2,  The Home of Pleasure,  Champion of Realms,  Twinewood"
2026-04-04,MISE À JOUR,"How to Fuck in a Zombie Apocalypse?,  My Bimbo Dream: Kingpin,  The Shadow over Blackmore,  Origin Story,  Orange Smash"
2026-04-04,AJOUT DE JEU,"Double Perception,  Date a Giantess,  Origin Story"
2026-04-03,AJOUT DE JEU,"Throbbin Hood,  30 Days,  Astral Bordello,  Becky's Reckoning,  Bobby's Memoirs of Depravity,  IRYS"
2026-04-03,MISE À JOUR,"ERASTORM ~ SnowStorm,  Total Maidness!,  Futaisekai - A Tale of Unintended Fate,  Him"
2026-04-02,MISE À JOUR,"Chastity Falls,  Click-Her,  Summertime Saga,  Academy34,  Pandora's Box 2,  Camp Pinewood Remix,  Jury,  Mutual Corruption,  Special Harem Class,  The Beautiful Game"
2026-04-02,AJOUT DE JEU,"Mounting Olympus,  Bubble Milf,  Melatonin Magiks,  Wartribe Academy,  Between Duty and Love,  Tribulations of a Mage"
